system,weights,ky,kx,radius,extracted_magnitude,extracted_freq,label,exact_magnitude,exact_freq,magnitude_error,freq_error
rotating,shuffled,6,0,6.0,0.007437076789715049,0.49997397924565734,damped,0.8704096536513517,0.0238732414637843,-0.8629725768616366,0.47610073778187306
rotating,resampled,-6,0,6.0,0.00955171746862721,1.3110574510448236e-05,damped,0.8704096536513517,0.0238732414637843,-0.8608579361827244,-0.02386013088927385
rotating,resampled,-5,0,5.0,0.009509580955367315,0.002044993421701548,damped,0.9081162722143948,0.0238732414637843,-0.8986066912590275,-0.021828248042082752
rotating,resampled,-5,1,5.0990195135927845,0.009550683281823095,3.163583912345695e-05,damped,0.9046219388421827,0.023873241463784306,-0.8950712555603596,-0.02384160562466085
rotating,resampled,-5,2,5.385164807134504,0.00955022519766652,1.3789002884285378e-05,damped,0.8942194068777493,0.023873241463784306,-0.8846691816800827,-0.02385945246090002
rotating,resampled,-5,3,5.830951894845301,0.009552276089051277,1.1081266520279065e-05,damped,0.8771470002880658,0.0238732414637843,-0.8675947241990145,-0.02386216019726402
rotating,resampled,-4,0,4.0,0.009657792585084547,0.00045278568506317,damped,0.9401789706739411,0.0238732414637843,-0.9305211780888565,-0.02342045577872113
rotating,resampled,-4,1,4.123105625617661,0.009424425662968866,0.004370536877219988,damped,0.9365612634996526,0.023873241463784296,-0.9271368378366838,-0.019502704586564307
rotating,resampled,-4,2,4.47213595499958,0.009410951163430015,0.0004983228364417591,damped,0.9257914512036179,0.023873241463784306,-0.9163805000401879,-0.023374918627342547
rotating,resampled,-4,3,5.0,0.009449372411255917,0.0001365508714367031,damped,0.9081162722143948,0.0238732414637843,-0.898666899803139,-0.023736690592347596
rotating,resampled,-4,4,5.656854249492381,0.009411269763121162,0.0017660228673588546,damped,0.8839364968975113,0.023873241463784306,-0.8745252271343902,-0.022107218596425452
rotating,resampled,-3,0,3.0,0.009575108851573073,0.0010882653884579793,damped,0.9658972392920434,0.023873241463784306,-0.9563221304404703,-0.022784976075326327
rotating,resampled,-3,1,3.1622776601683795,0.009466193658198833,0.004714929741093019,damped,0.9621805709967428,0.023873241463784306,-0.952714377338544,-0.019158311722691286
rotating,resampled,-3,2,3.605551275463989,0.00941502145368247,0.0021886914283193847,damped,0.9511161542325851,0.0238732414637843,-0.9417011327789027,-0.021684550035464913
rotating,resampled,-3,3,4.242640687119285,0.009508579897156045,0.00128798840422618,damped,0.9329574768719912,0.0238732414637843,-0.9234488969748351,-0.02258525305955812
rotating,resampled,-3,4,5.0,0.00956001751350911,0.00044393960260733525,damped,0.9081162722143948,0.0238732414637843,-0.8985562547008857,-0.023429301861176963
rotating,resampled,-3,5,5.830951894845301,0.009316644966511467,0.00020123674228232662,damped,0.8771470002880658,0.0238732414637843,-0.8678303553215543,-0.023672004721501973
rotating,resampled,-2,0,2.0,0.009489341204971009,0.00012712958303654121,damped,0.9846970418195912,0.023873241463784306,-0.9752077006146201,-0.023746111880747763
rotating,resampled,-2,1,2.23606797749979,0.009362627305979943,0.00279923378563494,damped,0.9809080339138542,0.0238732414637843,-0.9715454066078743,-0.02107400767814936
rotating,resampled,-2,2,2.8284271247461903,0.009593272212321726,0.0013805355861424627,damped,0.9696282641682539,0.0238732414637843,-0.9600349919559321,-0.022492705877641836
rotating,resampled,-2,3,3.605551275463989,0.009389723097698569,0.0018400525896481194,damped,0.9511161542325851,0.0238732414637843,-0.9417264311348865,-0.02203318887413618
